Slice Logic Utilization,Used,Available,Utilization,Note(s)
Number of Slice Registers,"1,812","18,224",9%,
    Number used as Flip Flops,"1,805",,,
    Number used as Latches,0,,,
    Number used as Latch-thrus,0,,,
    Number used as AND/OR logics,7,,,
Number of Slice LUTs,"2,582","9,112",28%,
    Number used as logic,"2,352","9,112",25%,
        Number using O6 output only,"1,854",,,
        Number using O5 output only,44,,,
        Number using O5 and O6,454,,,
        Number used as ROM,0,,,
    Number used as Memory,187,"2,176",8%,
        Number used as Dual Port RAM,64,,,
            Number using O6 output only,0,,,
            Number using O5 output only,0,,,
            Number using O5 and O6,64,,,
        Number used as Single Port RAM,0,,,
        Number used as Shift Register,123,,,
            Number using O6 output only,28,,,
            Number using O5 output only,1,,,
            Number using O5 and O6,94,,,
    Number used exclusively as route-thrus,43,,,
        Number with same-slice register load,37,,,
        Number with same-slice carry load,6,,,
        Number with other load,0,,,
Number of occupied Slices,992,"2,278",43%,
Nummber of MUXCYs used,524,"4,556",11%,
Number of LUT Flip Flop pairs used,"2,934",,,
    Number with an unused Flip Flop,"1,244","2,934",42%,
    Number with an unused LUT,352,"2,934",11%,
    Number of fully used LUT-FF pairs,"1,338","2,934",45%,
    Number of unique control sets,145,,,
    Number of slice register sites lost,570,"18,224",3%,
        to control set restrictions,,,,
Number of bonded IOBs,24,232,10%,
    Number of LOCed IOBs,24,24,100%,
    IOB Flip Flops,2,,,
Number of RAMB16BWERs,16,32,50%,
Number of RAMB8BWERs,0,64,0%,
Number of BUFIO2/BUFIO2_2CLKs,1,32,3%,
    Number used as BUFIO2s,1,,,
    Number used as BUFIO2_2CLKs,0,,,
Number of BUFIO2FB/BUFIO2FB_2CLKs,0,32,0%,
Number of BUFG/BUFGMUXs,2,16,12%,
    Number used as BUFGs,2,,,
    Number used as BUFGMUX,0,,,
Number of DCM/DCM_CLKGENs,0,4,0%,
Number of ILOGIC2/ISERDES2s,1,248,1%,
    Number used as ILOGIC2s,1,,,
    Number used as ISERDES2s,0,,,
Number of IODELAY2/IODRP2/IODRP2_MCBs,0,248,0%,
Number of OLOGIC2/OSERDES2s,1,248,1%,
    Number used as OLOGIC2s,1,,,
    Number used as OSERDES2s,0,,,
Number of BSCANs,1,4,25%,
Number of BUFHs,0,128,0%,
Number of BUFPLLs,0,8,0%,
Number of BUFPLL_MCBs,0,4,0%,
Number of DSP48A1s,3,32,9%,
Number of ICAPs,0,1,0%,
Number of MCBs,0,2,0%,
Number of PCILOGICSEs,0,2,0%,
Number of PLL_ADVs,1,2,50%,
Number of PMVs,0,1,0%,
Number of STARTUPs,0,1,0%,
Number of SUSPEND_SYNCs,0,1,0%,
Average Fanout of Non-Clock Nets,4.27,,,
